Matreial hardness (HV),Data point count,Calibrated probe dimension,Re-calibration status
25.9,3860,1.984913549881803,1
25.9,1909,1.9835400142171475,1
25.9,1944,1.9845854479908356,1
25.9,3870,1.9828,1
25.9,3863,1.9837172164403094,1
25.9,3867,1.984032312731526,1
25.9,1503,1.9838488633284832,1
25.9,1930,1.983848614205672,1
25.9,4501,1.9853745724852732,1
25.9,3724,1.9848795217674418,1
25.9,3871,1.9828,1
25.9,3865,1.9828,1
25.9,3488,1.9852821590422323,1
25.9,2269,1.984493105856852,1
25.9,3290,1.9870929869919414,1
25.9,3087,1.9837447576745308,1
25.9,3067,1.9879478487725741,1
25.9,1828,1.984440835173818,1
25.9,4006,1.9832782450194808,1
25.9,3863,1.9837629992030805,1
25.9,3860,1.9846756700921089,1
25.9,4208,1.984347082763267,1
25.9,2554,1.9858941681443911,1
25.9,4641,1.9855549918073683,1
25.9,2122,1.9842953194222608,1
